model,accuracy,precision,recall,f1,roc_auc,pr_auc,weighted_score
Logistic Regression,0.9730170991187107,0.055589870290302656,0.9183673469387755,0.10483401281304601,0.9684326477495895,0.7621379607389194,0.6481090574565703
Random Forest,0.9975773322565921,0.4029126213592233,0.8469387755102041,0.5460526315789473,0.9735166541292939,0.7663280346647326,0.75238046544361
SVM,0.9721042098240933,0.05385996409335727,0.9183673469387755,0.10175240248728094,0.9726413110263802,0.7550058875579282,0.6464570444206021
XGBoost,0.9927319967697763,0.17886178861788618,0.8979591836734694,0.2983050847457627,0.9740577769515233,0.8272140551331976,0.7093565524724172
