,accuracy,precision,recall,f1,roc_auc,pr_auc,weighted_score
Logistic Regression,0.9857092696629214,0.09318181818181819,0.8367346938775511,0.16768916155419222,0.9059599359422994,0.6937563039779547,0.6140837753417177
Random Forest,0.9991924157303371,0.76,0.7755102040816326,0.7676767676767676,0.9512755191767539,0.7523542563960706,0.7945099425034905
SVM,0.9847963483146067,0.08620689655172414,0.8163265306122449,0.15594541910331383,0.9018920853136021,0.63356279077457,0.5910073562696546
